reason,song,source_kind,source_file,bar_number,source_label_path,matched_pdf,detected_crops,source_labels,packaged_song_bars
crop_label_count_mismatch,The Trees Drum Tab by Rush Oct 20 2025,gp7,ml/data/songsterr/guitar_pro/The Trees Drum Tab by Rush Oct 20 2025.gp,50,ml/data/labels/The Trees Drum Tab by Rush Oct 20 2025_bar050.json,ml/data/songsterr/pdf/The Trees Drum Tab by Rush _ Songsterr Tabs with Rhythm.pdf,0,159,0
crop_label_count_mismatch,The Trees Drum Tab by Rush Oct 20 2025,gp7,ml/data/songsterr/guitar_pro/The Trees Drum Tab by Rush Oct 20 2025.gp,51,ml/data/labels/The Trees Drum Tab by Rush Oct 20 2025_bar051.json,ml/data/songsterr/pdf/The Trees Drum Tab by Rush _ Songsterr Tabs with Rhythm.pdf,0,159,0
crop_label_count_mismatch,The Trees Drum Tab by Rush Oct 20 2025,gp7,ml/data/songsterr/guitar_pro/The Trees Drum Tab by Rush Oct 20 2025.gp,52,ml/data/labels/The Trees Drum Tab by Rush Oct 20 2025_bar052.json,ml/data/songsterr/pdf/The Trees Drum Tab by Rush _ Songsterr Tabs with Rhythm.pdf,0,159,0
crop_label_count_mismatch,The Trees Drum Tab by Rush Oct 20 2025,gp7,ml/data/songsterr/guitar_pro/The Trees Drum Tab by Rush Oct 20 2025.gp,53,ml/data/labels/The Trees Drum Tab by Rush Oct 20 2025_bar053.json,ml/data/songsterr/pdf/The Trees Drum Tab by Rush _ Songsterr Tabs with Rhythm.pdf,0,159,0
crop_label_count_mismatch,The Trees Drum Tab by Rush Oct 20 2025,gp7,ml/data/songsterr/guitar_pro/The Trees Drum Tab by Rush Oct 20 2025.gp,54,ml/data/labels/The Trees Drum Tab by Rush Oct 20 2025_bar054.json,ml/data/songsterr/pdf/The Trees Drum Tab by Rush _ Songsterr Tabs with Rhythm.pdf,0,159,0
crop_label_count_mismatch,The Trees Drum Tab by Rush Oct 20 2025,gp7,ml/data/songsterr/guitar_pro/The Trees Drum Tab by Rush Oct 20 2025.gp,55,ml/data/labels/The Trees Drum Tab by Rush Oct 20 2025_bar055.json,ml/data/songsterr/pdf/The Trees Drum Tab by Rush _ Songsterr Tabs with Rhythm.pdf,0,159,0
crop_label_count_mismatch,The Trees Drum Tab by Rush Oct 20 2025,gp7,ml/data/songsterr/guitar_pro/The Trees Drum Tab by Rush Oct 20 2025.gp,56,ml/data/labels/The Trees Drum Tab by Rush Oct 20 2025_bar056.json,ml/data/songsterr/pdf/The Trees Drum Tab by Rush _ Songsterr Tabs with Rhythm.pdf,0,159,0
crop_label_count_mismatch,The Trees Drum Tab by Rush Oct 20 2025,gp7,ml/data/songsterr/guitar_pro/The Trees Drum Tab by Rush Oct 20 2025.gp,57,ml/data/labels/The Trees Drum Tab by Rush Oct 20 2025_bar057.json,ml/data/songsterr/pdf/The Trees Drum Tab by Rush _ Songsterr Tabs with Rhythm.pdf,0,159,0
crop_label_count_mismatch,The Trees Drum Tab by Rush Oct 20 2025,gp7,ml/data/songsterr/guitar_pro/The Trees Drum Tab by Rush Oct 20 2025.gp,58,ml/data/labels/The Trees Drum Tab by Rush Oct 20 2025_bar058.json,ml/data/songsterr/pdf/The Trees Drum Tab by Rush _ Songsterr Tabs with Rhythm.pdf,0,159,0
crop_label_count_mismatch,The Trees Drum Tab by Rush Oct 20 2025,gp7,ml/data/songsterr/guitar_pro/The Trees Drum Tab by Rush Oct 20 2025.gp,59,ml/data/labels/The Trees Drum Tab by Rush Oct 20 2025_bar059.json,ml/data/songsterr/pdf/The Trees Drum Tab by Rush _ Songsterr Tabs with Rhythm.pdf,0,159,0
